Plx	Ply	Plz	Ppx	Ppy	Ppz	Ppix	Ppiy	Ppiz
4.810	1.365	-0.000	4.075	1.142	-0.100	0.735	0.223	0.100
4.811	1.363	-0.000	4.213	1.181	-0.095	0.597	0.182	0.095
4.561	2.047	0.000	3.957	1.869	-0.046	0.604	0.178	0.046
4.719	1.653	-0.000	4.270	1.539	-0.061	0.449	0.113	0.061
3.225	-3.820	0.000	2.758	-3.411	-0.034	0.467	-0.409	0.034
4.670	-1.786	-0.000	3.684	-1.446	0.076	0.986	-0.340	-0.076
4.969	-0.561	0.000	4.251	-0.411	0.070	0.718	-0.150	-0.070
4.999	0.072	0.000	4.008	0.148	-0.005	0.991	-0.076	0.005
3.524	3.546	-0.000	2.646	2.655	0.026	0.877	0.891	-0.026
3.426	3.642	-0.000	2.834	3.152	-0.034	0.592	0.489	0.034
1.948	-4.605	-0.000	1.463	-3.559	0.045	0.485	-1.046	-0.045
3.315	3.743	-0.000	2.652	3.081	0.074	0.663	0.662	-0.074
4.617	1.920	-0.000	3.981	1.582	-0.071	0.637	0.338	0.071
4.605	1.947	0.000	3.651	1.610	0.062	0.954	0.337	-0.062
4.884	-1.067	-0.000	4.458	-1.000	-0.065	0.427	-0.067	0.065
3.709	-3.353	0.000	3.081	-2.904	0.056	0.627	-0.449	-0.056
1.883	-4.632	0.000	1.466	-3.728	-0.077	0.417	-0.903	0.077
1.928	4.613	-0.000	1.446	3.481	0.028	0.482	1.132	-0.028
4.189	-2.729	-0.000	3.123	-2.051	0.004	1.066	-0.678	-0.004
4.680	-1.759	-0.000	4.128	-1.464	0.048	0.552	-0.295	-0.048
4.990	0.312	-0.000	3.755	0.231	0.017	1.235	0.081	-0.017
4.862	1.166	-0.000	4.501	1.126	-0.003	0.362	0.040	0.003
4.522	-2.135	0.000	3.445	-1.599	0.000	1.077	-0.537	-0.000
4.416	-2.345	0.000	3.880	-1.971	-0.052	0.537	-0.375	0.052
3.459	-3.612	-0.000	2.947	-3.089	0.094	0.512	-0.523	-0.094
